Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,PayloadBytes,Mean,Error,StdDev,P95,Ratio,RatioSD,Allocated,Alloc Ratio
Bolt_Echo,PayloadCredible,False,Default,Default,Default,Default,250ms,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,15,Default,3,Default,Default,Default,Default,Default,Default,16,5,1048576,"7,420.4 μs","1,087.9 μs","2,043.4 μs","10,916.8 μs",1.07,0.41,1.01 MB,1.00
Bolt_Echo,PayloadCredible,False,Default,Default,Default,Default,250ms,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,15,Default,3,Default,Default,Default,Default,Default,Default,16,5,2097152,"16,274.6 μs","1,208.5 μs","2,240.0 μs","19,317.6 μs",1.02,0.20,2.06 MB,1.00
Bolt_Echo,PayloadCredible,False,Default,Default,Default,Default,250ms,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,15,Default,3,Default,Default,Default,Default,Default,Default,16,5,5242880,"29,402.6 μs","2,378.3 μs","4,525.0 μs","38,048.8 μs",1.02,0.22,5.11 MB,1.00
